Equipment_ID,Equipment_Type,Temperature_Avg(C),Humidity_Avg(%),Last_Maintenance_Days_Ago,Failure_Reason,Failure_Probability,Maintenance_Level_Required,Downtime_Hours
EQ-0172,CT Scanner,46.9,72.68,155,Overheating,0.373,Medium,71
EQ-0173,Ventilator,22.41,72.08,138,Mechanical Wear,0.255,High,66
EQ-0174,Blood Testing Device,35.74,68.36,120,Power Surge,0.106,High,70
EQ-0175,Blood Testing Device,32.31,67.4,64,Mechanical Wear,0.355,High,41
EQ-0176,MRI Machine,49.47,38.28,106,Calibration Issue,0.413,Low,63
EQ-0177,Ventilator,23.36,24.86,146,Overheating,0.676,Medium,32
EQ-0178,Ventilator,31.94,44.18,136,Mechanical Wear,0.658,High,20
EQ-0179,CT Scanner,49.08,30.41,161,Calibration Issue,0.07,Medium,57
EQ-0180,Ventilator,45.97,61.7,99,Overheating,0.395,Low,50
EQ-0181,CT Scanner,44.51,40.77,337,Mechanical Wear,0.182,Low,25
EQ-0182,Ventilator,27.74,78.54,306,Mechanical Wear,0.157,Low,12
EQ-0183,MRI Machine,25.13,58.46,140,Calibration Issue,0.827,Low,71
EQ-0184,Ventilator,40.06,69.35,82,Overheating,0.042,Medium,39
EQ-0185,CT Scanner,47.88,27.95,176,Overheating,0.419,Low,17
EQ-0186,CT Scanner,36.7,71.72,197,Mechanical Wear,0.168,Low,45
EQ-0187,MRI Machine,37.15,75.37,111,Mechanical Wear,0.879,High,11
EQ-0188,Ventilator,28.4,49.22,55,Mechanical Wear,0.557,Low,70
EQ-0189,Ventilator,43.08,56.38,178,Overheating,0.231,High,23
EQ-0190,MRI Machine,25.61,65.89,185,Calibration Issue,0.502,Low,70
EQ-0191,Ventilator,29.71,30.49,217,Calibration Issue,0.731,Low,38
EQ-0192,Ventilator,32.76,50.15,315,Overheating,0.958,High,2
EQ-0193,CT Scanner,35.23,43.92,216,Power Surge,0.22,Low,37
EQ-0194,Ventilator,27.27,28.78,119,Calibration Issue,0.886,Medium,49
EQ-0195,Ventilator,23.45,42.05,174,Mechanical Wear,0.934,Medium,52
EQ-0196,MRI Machine,38.32,24.09,22,Power Surge,0.916,Low,33
EQ-0197,MRI Machine,28.66,21.55,212,Power Surge,0.635,Medium,22
EQ-0198,Blood Testing Device,37.44,28.11,234,Calibration Issue,0.63,High,5
EQ-0199,CT Scanner,24.63,77.79,12,Power Surge,0.403,Low,18
EQ-0200,Ventilator,34.43,52.97,100,Power Surge,0.752,Low,38
EQ-0201,Ventilator,35.98,77.95,23,Calibration Issue,0.531,High,37
EQ-0202,Blood Testing Device,21.55,45.95,363,Calibration Issue,0.677,High,64
EQ-0203,Ventilator,30.1,38.71,10,Power Surge,0.428,High,10
EQ-0204,CT Scanner,24.03,50.37,272,Mechanical Wear,0.731,Low,42
EQ-0205,Blood Testing Device,21.9,46.37,280,Overheating,0.824,High,48
EQ-0206,CT Scanner,49.7,26.34,93,Power Surge,0.146,High,44
EQ-0207,Blood Testing Device,29.67,58.45,200,Power Surge,0.833,Medium,16
EQ-0208,Blood Testing Device,44.3,32.96,20,Mechanical Wear,0.54,Medium,54
EQ-0209,MRI Machine,27.64,57.18,339,Power Surge,0.845,Low,35
EQ-0210,CT Scanner,40.45,59.01,210,Power Surge,0.431,Medium,28
EQ-0211,Ventilator,42.81,29.12,139,Overheating,0.379,Medium,2
EQ-0212,Ventilator,37.87,23.68,292,Overheating,0.915,High,13
EQ-0213,CT Scanner,34.15,66.85,297,Overheating,0.251,High,41
EQ-0214,Ventilator,32.36,47.59,100,Calibration Issue,0.844,Medium,59
EQ-0215,Ventilator,30.47,23.49,303,Calibration Issue,0.484,Medium,69
EQ-0216,CT Scanner,47.89,79.69,358,Overheating,0.514,Medium,53
EQ-0217,Blood Testing Device,44.92,23.47,27,Overheating,0.308,Low,45
EQ-0218,CT Scanner,48.95,61.7,40,Calibration Issue,0.573,Low,20
EQ-0219,Blood Testing Device,23.73,79.02,354,Mechanical Wear,0.325,Low,24
EQ-0220,Ventilator,41.93,34.35,302,Power Surge,0.039,Medium,61
EQ-0221,Ventilator,48.15,28.53,145,Power Surge,0.272,Medium,58
EQ-0222,Ventilator,25.44,27.28,255,Overheating,0.006,Low,27
EQ-0223,MRI Machine,21.99,38.2,226,Mechanical Wear,0.978,Low,26
EQ-0224,Blood Testing Device,42.23,26.06,235,Calibration Issue,0.966,Medium,7
EQ-0225,MRI Machine,37.23,61.53,360,Overheating,0.395,High,42
EQ-0226,MRI Machine,45.25,23.74,12,Mechanical Wear,0.728,Low,47
EQ-0227,CT Scanner,24.19,50.57,209,Mechanical Wear,0.346,Medium,53
EQ-0228,MRI Machine,43.86,79.8,228,Mechanical Wear,0.671,Medium,59
EQ-0229,CT Scanner,26.05,68.84,99,Calibration Issue,0.805,High,38
EQ-0230,CT Scanner,24.91,56.91,30,Calibration Issue,0.947,Medium,69
EQ-0231,MRI Machine,24.93,38.38,15,Power Surge,0.4,Medium,53
EQ-0232,Blood Testing Device,44.44,57.43,136,Power Surge,0.783,Low,15
EQ-0233,Blood Testing Device,39.96,51.62,328,Mechanical Wear,0.266,Low,26
EQ-0234,Blood Testing Device,35.69,45.57,165,Mechanical Wear,0.99,High,48
EQ-0235,Blood Testing Device,30.76,27.84,309,Calibration Issue,0.026,High,19
EQ-0236,Blood Testing Device,46.32,73.2,99,Power Surge,0.604,Medium,9
EQ-0237,MRI Machine,31.77,46.99,108,Mechanical Wear,0.66,Low,64
EQ-0238,MRI Machine,44.5,31.68,342,Power Surge,0.688,High,54
EQ-0239,Ventilator,33.17,42.07,172,Power Surge,0.12,High,51
EQ-0240,Blood Testing Device,31.31,44.85,236,Mechanical Wear,0.939,High,39
EQ-0241,MRI Machine,33.88,69.65,161,Calibration Issue,0.181,Medium,4
EQ-0242,Ventilator,29.04,64.02,215,Mechanical Wear,0.623,Low,3
EQ-0243,Blood Testing Device,42.43,66.16,263,Mechanical Wear,0.223,High,64
EQ-0244,CT Scanner,35.08,20.66,262,Power Surge,0.307,Low,29
EQ-0245,Ventilator,26.97,44.97,291,Mechanical Wear,0.546,High,11
EQ-0246,MRI Machine,46.99,48.88,273,Calibration Issue,0.417,High,58
EQ-0247,CT Scanner,31.52,21.15,2,Mechanical Wear,0.16,Low,27
EQ-0248,CT Scanner,36.31,35.59,27,Calibration Issue,0.171,Low,21
EQ-0249,CT Scanner,47.19,65.62,325,Calibration Issue,0.418,Low,39
EQ-0250,Ventilator,38.73,28.23,148,Power Surge,0.757,Medium,46
EQ-0251,MRI Machine,23.51,52.12,27,Overheating,0.898,High,66
EQ-0252,CT Scanner,48.19,32.91,309,Overheating,0.084,Medium,36
EQ-0253,Blood Testing Device,38.83,20.73,64,Power Surge,0.393,Low,65
EQ-0254,CT Scanner,30.05,34.47,355,Mechanical Wear,0.1,High,63
EQ-0255,CT Scanner,24.18,78.55,20,Power Surge,0.017,Medium,35
EQ-0256,Ventilator,43.82,68.09,251,Calibration Issue,0.662,High,31
EQ-0257,Ventilator,38.6,77.57,234,Overheating,0.602,Medium,28
EQ-0258,MRI Machine,36.0,49.27,226,Power Surge,0.163,Low,1
EQ-0259,Blood Testing Device,46.82,26.58,12,Mechanical Wear,0.234,Medium,25
EQ-0260,Ventilator,43.66,52.88,312,Power Surge,0.024,High,43
EQ-0261,CT Scanner,24.55,47.26,48,Overheating,0.835,High,67
EQ-0262,MRI Machine,29.35,70.66,117,Power Surge,0.975,High,63
EQ-0263,CT Scanner,27.45,25.88,53,Power Surge,0.135,High,51
EQ-0264,CT Scanner,42.32,49.29,137,Overheating,0.231,Low,2
EQ-0265,Ventilator,21.01,29.0,52,Calibration Issue,0.868,Medium,64
EQ-0266,MRI Machine,37.1,39.48,43,Calibration Issue,0.926,Low,69
EQ-0267,Blood Testing Device,42.87,64.24,302,Overheating,0.42,Low,9
EQ-0268,Blood Testing Device,46.3,48.56,52,Power Surge,0.051,Low,2
EQ-0269,Ventilator,30.26,42.55,73,Overheating,0.039,High,34
EQ-0270,Ventilator,44.64,43.67,45,Calibration Issue,0.574,High,60
EQ-0271,MRI Machine,23.32,47.57,12,Mechanical Wear,0.393,High,61
EQ-0272,Blood Testing Device,45.39,67.1,164,Power Surge,0.029,Medium,31
EQ-0273,Blood Testing Device,23.82,73.53,101,Calibration Issue,0.583,High,10
EQ-0274,Blood Testing Device,31.92,77.32,279,Power Surge,0.011,Medium,36
EQ-0275,CT Scanner,43.92,67.21,257,Overheating,0.787,High,49
EQ-0276,Blood Testing Device,24.5,38.92,336,Mechanical Wear,0.306,High,70
EQ-0277,CT Scanner,26.88,61.29,355,Overheating,0.04,Low,49
EQ-0278,MRI Machine,41.67,46.26,137,Mechanical Wear,0.588,Low,3
EQ-0279,CT Scanner,41.6,35.28,162,Power Surge,0.398,Low,5
EQ-0280,MRI Machine,39.23,70.45,110,Power Surge,0.974,Medium,61
EQ-0281,Blood Testing Device,40.82,22.31,101,Overheating,0.544,Medium,26
EQ-0282,Blood Testing Device,36.28,74.11,16,Mechanical Wear,0.275,High,5
EQ-0283,MRI Machine,27.55,47.69,267,Mechanical Wear,0.709,Medium,15
EQ-0284,Ventilator,30.37,58.23,181,Power Surge,0.271,High,16
EQ-0285,MRI Machine,25.45,59.56,23,Overheating,0.904,Medium,1
EQ-0286,Ventilator,47.25,73.71,28,Mechanical Wear,0.375,Medium,16
EQ-0287,CT Scanner,37.5,58.2,170,Power Surge,0.55,Medium,37
EQ-0288,CT Scanner,32.03,56.84,227,Calibration Issue,0.051,Low,3
EQ-0289,CT Scanner,33.86,24.0,187,Overheating,0.426,Medium,52
EQ-0290,Blood Testing Device,48.42,51.1,345,Calibration Issue,0.832,Low,47
EQ-0291,CT Scanner,24.6,29.01,229,Overheating,0.806,Low,13
EQ-0292,Ventilator,37.59,64.25,320,Power Surge,0.224,Medium,55
EQ-0293,CT Scanner,35.18,50.73,339,Mechanical Wear,0.226,High,21
EQ-0294,MRI Machine,38.34,60.81,118,Mechanical Wear,0.817,High,66
EQ-0295,MRI Machine,20.54,22.5,155,Mechanical Wear,0.93,High,54
EQ-0296,Blood Testing Device,46.16,25.09,271,Overheating,0.095,Medium,27
EQ-0297,MRI Machine,47.96,62.98,174,Power Surge,0.45,High,38
EQ-0298,Ventilator,36.95,24.33,103,Calibration Issue,0.337,Low,58
EQ-0299,CT Scanner,40.9,24.28,91,Power Surge,0.871,High,62
EQ-0300,Blood Testing Device,47.67,20.73,185,Calibration Issue,0.084,Medium,46
EQ-0301,CT Scanner,41.22,77.39,282,Overheating,0.211,High,11
EQ-0302,CT Scanner,24.58,64.25,180,Overheating,0.752,Low,8
EQ-0303,Ventilator,37.29,41.2,169,Calibration Issue,0.051,Medium,71
EQ-0304,MRI Machine,38.2,37.79,186,Calibration Issue,0.493,High,64
EQ-0305,MRI Machine,32.72,40.98,174,Calibration Issue,0.442,Medium,21
EQ-0306,CT Scanner,42.09,66.48,221,Power Surge,0.334,Medium,63
EQ-0307,Blood Testing Device,48.03,59.68,232,Calibration Issue,0.395,Medium,64
EQ-0308,MRI Machine,47.77,31.11,161,Overheating,0.53,High,20
EQ-0309,Blood Testing Device,33.53,30.45,133,Overheating,0.161,Medium,8
EQ-0310,MRI Machine,23.4,25.9,223,Mechanical Wear,0.572,High,58
EQ-0311,Blood Testing Device,49.55,59.62,152,Calibration Issue,0.805,Low,46
EQ-0312,Ventilator,45.17,65.86,32,Power Surge,0.76,High,31
EQ-0313,Blood Testing Device,23.74,35.9,54,Power Surge,0.154,Low,9
EQ-0314,Ventilator,47.63,21.26,6,Power Surge,0.149,High,15
EQ-0315,Ventilator,46.1,24.93,243,Mechanical Wear,0.268,Medium,26
EQ-0316,Blood Testing Device,35.57,78.07,312,Overheating,0.361,High,10
EQ-0317,Ventilator,37.74,37.73,125,Power Surge,0.408,Medium,29
EQ-0318,CT Scanner,31.97,66.15,11,Overheating,0.68,Low,36
EQ-0319,Ventilator,21.64,57.48,15,Mechanical Wear,0.057,High,37
EQ-0320,MRI Machine,30.06,42.92,207,Calibration Issue,0.035,Medium,71
EQ-0321,Blood Testing Device,44.09,32.34,42,Calibration Issue,0.392,Low,23
EQ-0322,CT Scanner,20.14,27.28,134,Calibration Issue,0.697,Low,41
EQ-0323,Blood Testing Device,30.0,56.9,227,Power Surge,0.193,High,28
EQ-0324,MRI Machine,31.95,66.48,110,Calibration Issue,0.642,Low,48
EQ-0325,MRI Machine,36.12,58.63,306,Power Surge,0.26,Medium,38
EQ-0326,MRI Machine,47.6,51.82,159,Mechanical Wear,0.886,Low,31
EQ-0327,Ventilator,30.39,22.52,330,Mechanical Wear,0.896,Low,14
EQ-0328,Ventilator,30.41,78.11,263,Power Surge,0.297,Medium,29
EQ-0329,Blood Testing Device,42.13,67.92,224,Overheating,0.23,Low,51
EQ-0330,Blood Testing Device,33.57,37.57,216,Calibration Issue,0.411,Low,49
EQ-0331,CT Scanner,26.74,78.8,44,Calibration Issue,0.241,Low,43
EQ-0332,CT Scanner,33.57,56.11,213,Calibration Issue,0.672,Low,5
EQ-0333,Blood Testing Device,24.23,54.95,58,Power Surge,0.826,Medium,42
EQ-0334,Ventilator,25.29,64.88,131,Mechanical Wear,0.673,Low,7
EQ-0335,MRI Machine,34.95,68.71,103,Calibration Issue,0.824,Medium,42
EQ-0336,Blood Testing Device,32.57,59.39,194,Mechanical Wear,0.397,Low,36
EQ-0337,CT Scanner,47.45,27.69,156,Calibration Issue,0.156,Low,27
EQ-0338,Ventilator,30.87,40.3,97,Calibration Issue,0.738,Low,58
EQ-0339,Blood Testing Device,37.42,75.69,225,Power Surge,0.36,Low,46
EQ-0340,Blood Testing Device,38.97,33.48,204,Overheating,0.671,Medium,66
EQ-0341,Ventilator,20.39,42.33,78,Power Surge,0.271,Medium,25
EQ-0342,Blood Testing Device,39.91,45.92,123,Calibration Issue,0.081,Medium,27
