equipment_id,equipment_type,temperature_avg,humidity_avg,last_maintenance_days,uptime_hours,sensor_1,sensor_2,vibration,voltage_fluctuation,pressure,equipment_health,failure_probability,failure_reason,maintenance_level,cost_implications,updated_uptime
EQ-8601,MRI Scanner,39.0,61.1,121,2104,0.35,-0.02,2.97,0.39,98.0,Moderate,0.4,Overheating,Medium,5264,3099
EQ-6563,CT Scanner,34.1,25.6,337,4777,0.7,0.93,1.49,0.85,122.4,Critical,0.8,Pressure Leak,High,12674,5005
EQ-6045,CT Scanner,38.3,73.6,648,1694,0.98,0.17,3.93,0.9,128.4,Critical,1.0,Overheating,High,9294,2182
EQ-9759,CT Scanner,39.6,50.0,410,537,0.77,0.27,1.38,0.92,107.8,Critical,0.7,Overheating,High,13587,836
EQ-3570,MRI Scanner,36.5,41.2,116,1221,1.08,0.99,0.55,0.59,89.4,Moderate,0.4,Overheating,Medium,4121,1963
EQ-6642,X-ray Machine,22.6,54.5,217,2217,0.06,0.43,4.45,0.02,103.3,Good,0.05,Component Wear,Low,2555,3024
EQ-5046,X-ray Machine,24.7,26.6,626,2807,0.91,0.67,1.37,0.18,93.5,Moderate,0.35,Calibration Drift,Medium,5120,3440
EQ-6329,Blood Analyzer,20.1,34.6,569,1875,0.4,0.83,5.95,1.54,107.0,Critical,0.7,Overheating,High,8842,2061
EQ-2769,CT Scanner,30.6,47.1,366,2088,0.41,0.02,0.15,1.04,115.1,Critical,0.9,Calibration Drift,High,10755,2482
EQ-8313,Blood Analyzer,34.1,66.2,517,1930,0.14,0.06,2.27,1.25,91.1,Critical,0.9,Voltage Surge,High,8304,2320
EQ-3859,X-ray Machine,20.5,75.9,293,767,0.52,0.14,5.82,1.38,128.7,Critical,0.75,Overheating,High,9975,1084
EQ-3882,CT Scanner,29.0,35.6,541,1951,0.81,0.33,5.44,0.48,108.1,Critical,0.85,Overheating,High,11012,2248
EQ-7192,Blood Analyzer,20.6,34.6,278,2562,0.66,0.23,5.76,1.09,120.0,Moderate,0.4,Overheating,Medium,7498,3283
EQ-1723,MRI Scanner,36.8,51.7,98,1423,0.16,0.11,3.29,1.03,118.1,Critical,0.6,Overheating,High,8233,1740
EQ-1149,MRI Scanner,20.2,75.0,694,977,0.38,0.83,0.71,0.63,122.0,Critical,0.7,Pressure Leak,High,12521,1245
EQ-5289,X-ray Machine,38.8,23.6,385,2240,0.87,0.41,0.99,0.87,102.1,Critical,0.7,Overheating,High,8358,2638
EQ-6291,Ventilator,22.8,25.7,269,1017,0.35,0.29,0.88,0.68,95.0,Moderate,0.35,Component Wear,Medium,5749,1646
EQ-3530,Ventilator,25.0,52.1,565,1263,0.49,0.52,2.77,0.93,127.3,Moderate,0.45,Pressure Leak,Medium,5263,2203
EQ-9302,CT Scanner,26.3,39.4,384,4647,0.72,0.9,4.44,0.58,115.2,Moderate,0.35,Component Wear,Medium,7288,5434
EQ-1546,MRI Scanner,33.0,41.4,83,4056,0.07,0.45,5.73,0.58,112.4,Moderate,0.55,Overheating,Medium,7335,5010
EQ-2563,X-ray Machine,37.7,44.3,422,3234,0.77,0.92,0.51,1.33,125.4,Critical,1.0,Overheating,High,13811,3462
EQ-2439,Ventilator,21.3,66.5,633,4844,0.5,0.73,4.98,0.27,116.9,Critical,0.6,Calibration Drift,High,8644,5226
EQ-9744,Blood Analyzer,28.2,68.3,614,3131,0.71,0.72,0.49,1.23,105.0,Critical,0.8,Voltage Surge,High,14550,3590
EQ-2333,Blood Analyzer,27.5,56.0,370,101,0.8,0.3,4.67,0.8,89.4,Moderate,0.35,Component Wear,Medium,6526,893
EQ-8341,X-ray Machine,30.1,60.4,380,4333,0.42,0.01,4.32,0.51,82.5,Moderate,0.35,Component Wear,Medium,7020,5471
EQ-3991,X-ray Machine,36.2,47.6,670,1111,0.88,0.6,0.57,0.87,123.2,Critical,0.8,Overheating,High,13473,1436
EQ-8211,Ventilator,39.2,35.8,512,653,0.78,0.86,1.91,0.85,107.3,Critical,0.7,Overheating,High,14529,859
EQ-4719,CT Scanner,27.0,35.4,188,1889,0.46,0.03,4.5,0.61,107.6,Good,0.05,Calibration Drift,Low,3933,2505
EQ-1168,Blood Analyzer,28.7,54.9,361,3055,0.92,0.12,2.35,0.59,117.8,Moderate,0.35,Component Wear,Medium,6354,3883
EQ-7031,MRI Scanner,34.2,67.0,530,469,0.28,0.37,4.04,1.49,108.2,Critical,1.0,Voltage Surge,High,8623,831
EQ-6319,Blood Analyzer,24.6,61.2,636,4370,0.4,0.7,4.02,0.51,115.6,Moderate,0.35,Component Wear,Medium,7678,5013
EQ-5605,CT Scanner,25.8,31.1,333,1292,0.85,0.92,1.51,1.32,88.9,Moderate,0.55,Voltage Surge,Medium,4240,2224
EQ-2817,CT Scanner,25.2,28.4,150,1740,0.81,0.43,4.02,0.54,81.8,Good,0.05,Calibration Drift,Low,1955,2484
EQ-7930,X-ray Machine,32.9,74.6,581,2031,0.96,0.81,3.58,0.83,104.8,Critical,0.6,Calibration Drift,High,9468,2260
EQ-8475,CT Scanner,24.9,43.7,1,3020,-0.07,0.25,1.35,0.17,86.4,Good,0.05,Calibration Drift,Low,3723,4149
EQ-1905,Ventilator,29.4,74.6,144,4686,0.94,0.66,0.77,1.17,96.8,Moderate,0.5,Component Wear,Medium,6116,5678
EQ-4533,Blood Analyzer,33.0,72.8,153,2214,0.08,0.52,0.57,1.39,94.3,Moderate,0.5,Voltage Surge,Medium,5333,3004
EQ-8755,Blood Analyzer,33.2,37.6,644,2015,0.24,0.19,2.31,0.89,93.5,Moderate,0.35,Calibration Drift,Medium,6568,2826
EQ-7649,MRI Scanner,27.9,23.0,397,4580,0.64,0.24,3.77,1.05,105.8,Moderate,0.55,Calibration Drift,Medium,5841,5360
EQ-9700,MRI Scanner,34.0,48.2,353,588,0.69,0.66,5.74,0.09,98.9,Critical,0.85,Overheating,High,12570,756
EQ-6053,Blood Analyzer,24.2,33.6,70,3015,0.66,0.49,5.28,1.39,106.3,Moderate,0.4,Overheating,Medium,4864,3644
EQ-8738,X-ray Machine,21.0,61.1,458,1484,0.34,0.7,1.72,0.51,110.3,Moderate,0.35,Component Wear,Medium,4263,2085
EQ-3511,Blood Analyzer,20.7,75.3,411,1594,0.45,0.84,0.28,0.13,99.8,Critical,0.6,Component Wear,High,14611,2044
EQ-2056,X-ray Machine,27.7,20.8,185,4577,0.97,0.03,0.77,1.38,84.5,Good,0.25,Voltage Surge,Low,1012,5648
EQ-3203,X-ray Machine,39.3,26.6,636,2540,0.84,0.31,1.26,0.79,92.0,Critical,0.7,Overheating,High,11470,2739
EQ-4072,Ventilator,34.1,48.8,575,1017,0.72,0.77,2.36,0.99,105.6,Critical,0.7,Component Wear,High,14033,1260
EQ-5830,Blood Analyzer,23.8,52.5,9,3066,0.78,0.26,3.24,0.92,82.1,Good,0.05,Calibration Drift,Low,1972,4138
EQ-1066,CT Scanner,32.7,76.0,149,4497,0.9,0.65,3.51,0.57,117.7,Critical,0.65,Calibration Drift,High,11079,4650
EQ-5696,MRI Scanner,21.9,63.2,285,2490,0.16,0.42,1.96,0.31,89.3,Good,0.05,Component Wear,Low,3195,3206
EQ-6395,MRI Scanner,25.5,75.1,126,4026,0.72,0.75,3.99,1.37,120.8,Critical,0.6,Voltage Surge,High,8066,4257
EQ-2056,X-ray Machine,29.8,72.9,662,2378,0.99,0.86,3.09,0.96,117.5,Critical,0.6,Component Wear,High,11792,2617
EQ-4107,Ventilator,30.7,49.4,142,1228,0.89,0.07,3.12,-0.08,95.4,Moderate,0.4,Calibration Drift,Medium,5744,2167
EQ-1991,X-ray Machine,37.2,58.0,285,4178,0.3,1.04,0.55,1.38,80.1,Critical,0.6,Overheating,High,12541,4375
EQ-5962,X-ray Machine,29.7,52.1,439,2996,0.47,0.77,3.69,1.24,128.8,Critical,0.65,Voltage Surge,High,9622,3469
EQ-2907,MRI Scanner,21.4,76.2,727,1210,0.44,0.8,5.66,0.7,111.0,Critical,0.75,Overheating,High,13678,1401
EQ-6049,Ventilator,30.5,44.1,587,1325,0.44,0.79,2.51,0.18,122.2,Critical,0.8,Pressure Leak,High,12081,1752
EQ-1689,MRI Scanner,34.8,49.9,621,747,0.88,0.07,3.78,0.88,128.7,Critical,0.8,Pressure Leak,High,13320,1227
EQ-4450,X-ray Machine,30.9,51.0,249,3738,0.51,0.84,0.46,1.33,115.7,Good,0.25,Voltage Surge,Low,1813,4754
EQ-9126,Ventilator,27.5,36.0,456,4670,0.84,0.77,0.93,0.41,93.8,Moderate,0.35,Calibration Drift,Medium,4389,5281
EQ-4084,Blood Analyzer,32.6,37.7,385,2350,0.94,0.34,0.4,0.35,122.3,Moderate,0.45,Pressure Leak,Medium,6638,3089
EQ-8107,CT Scanner,31.4,69.3,389,4792,0.57,0.33,0.37,0.46,90.5,Critical,0.95,Component Wear,High,14830,5273
EQ-6875,MRI Scanner,32.1,72.4,659,1420,0.81,0.28,-0.05,0.15,96.9,Critical,0.95,Calibration Drift,High,14282,1664
EQ-5763,CT Scanner,37.0,49.6,78,2087,-0.03,0.22,1.42,0.64,84.9,Moderate,0.4,Overheating,Medium,7800,2857
EQ-2235,MRI Scanner,33.5,79.1,535,3933,0.14,0.28,5.46,0.9,126.8,Critical,1.0,Overheating,High,12046,4417
EQ-9389,X-ray Machine,18.8,46.8,108,4285,0.77,0.86,5.92,0.26,111.7,Good,0.2,Overheating,Low,3590,5391
EQ-8945,Ventilator,38.7,31.5,261,4457,0.13,0.1,1.68,1.16,99.5,Critical,0.9,Overheating,High,11127,4742
EQ-5009,X-ray Machine,22.1,20.6,567,4619,0.34,0.79,0.41,0.04,95.6,Moderate,0.35,Calibration Drift,Medium,6715,5269
EQ-7732,MRI Scanner,33.5,73.6,521,3557,0.45,0.56,5.33,0.55,82.5,Critical,1.0,Overheating,High,11023,3937
EQ-2430,MRI Scanner,19.5,60.4,224,847,0.98,0.3,3.51,1.47,121.3,Moderate,0.35,Voltage Surge,Medium,6171,2018
EQ-9269,MRI Scanner,36.8,31.9,243,1093,0.85,0.44,2.15,1.36,113.9,Critical,0.6,Overheating,High,9270,1267
EQ-9481,Blood Analyzer,32.1,55.2,549,2423,0.3,0.89,2.82,0.82,93.1,Moderate,0.35,Calibration Drift,Medium,4025,3133
EQ-2581,Blood Analyzer,22.2,47.3,457,3710,0.13,0.96,1.59,0.92,86.7,Moderate,0.35,Calibration Drift,Medium,5486,4677
EQ-9894,Ventilator,24.5,64.8,362,2985,0.26,0.44,6.0,0.56,109.6,Critical,0.75,Overheating,High,9928,3088
EQ-5328,CT Scanner,37.7,34.3,377,632,0.06,0.12,5.85,1.05,97.1,Critical,1.0,Overheating,High,9568,772
EQ-1910,Ventilator,23.8,68.3,623,556,0.87,0.36,3.91,0.37,129.4,Critical,0.7,Pressure Leak,High,8413,851
EQ-9397,Blood Analyzer,39.5,50.9,310,2458,0.37,0.27,3.04,1.39,125.3,Critical,0.7,Overheating,High,9238,2954
EQ-4614,Ventilator,30.5,36.0,152,4708,0.15,0.35,4.56,0.04,99.9,Moderate,0.4,Calibration Drift,Medium,7481,5790
EQ-4932,Ventilator,33.5,20.4,53,4703,0.21,0.79,2.37,0.73,122.5,Moderate,0.5,Pressure Leak,Medium,4879,5371
EQ-4936,MRI Scanner,36.4,75.4,411,1249,0.68,0.64,1.19,1.2,100.3,Critical,1.0,Overheating,High,10325,1517
EQ-6902,X-ray Machine,33.1,38.4,474,1588,0.71,0.18,3.52,0.08,83.1,Moderate,0.35,Calibration Drift,Medium,6012,2226
EQ-5211,X-ray Machine,33.8,40.2,198,1349,0.83,0.85,3.42,0.45,87.5,Good,0.05,Component Wear,Low,2812,2059
EQ-3098,X-ray Machine,32.9,22.0,599,4541,0.67,0.07,5.87,1.16,97.1,Critical,0.7,Overheating,High,11997,4879
EQ-3549,Blood Analyzer,20.1,23.1,346,1079,0.73,0.96,0.44,0.48,83.9,Good,0.05,Component Wear,Low,1008,1792
EQ-3710,CT Scanner,34.6,73.8,246,684,0.01,0.85,4.14,0.64,97.6,Critical,0.65,Calibration Drift,High,8211,967
EQ-2681,Blood Analyzer,33.5,46.5,164,1148,0.83,0.35,0.88,1.01,99.4,Good,0.25,Calibration Drift,Low,3998,2088
EQ-4067,CT Scanner,26.5,65.6,552,2596,0.02,0.01,0.62,1.33,89.5,Critical,0.8,Voltage Surge,High,9105,2703
EQ-1252,CT Scanner,28.6,22.1,608,2387,0.34,0.66,0.3,0.38,87.5,Critical,0.7,Calibration Drift,High,9738,2685
EQ-3970,MRI Scanner,32.3,47.3,701,1826,0.32,0.76,0.96,0.89,89.6,Critical,0.7,Component Wear,High,13462,1958
EQ-7141,Ventilator,32.4,32.5,336,3269,0.35,0.52,2.33,0.47,90.0,Critical,0.7,Calibration Drift,High,13917,3696
EQ-7401,Ventilator,26.0,26.4,567,2415,0.79,0.48,5.7,1.26,101.1,Critical,0.7,Overheating,High,8469,2571
EQ-6912,Ventilator,31.6,37.4,433,125,0.93,0.27,3.85,0.76,98.6,Critical,0.7,Calibration Drift,High,10002,568
EQ-2649,MRI Scanner,38.5,55.2,199,609,0.16,0.75,3.18,0.55,112.7,Moderate,0.4,Overheating,Medium,6815,1448
EQ-5329,CT Scanner,19.5,27.2,62,3992,0.43,0.99,3.97,1.26,117.3,Good,0.25,Voltage Surge,Low,1946,4657
EQ-4062,CT Scanner,31.5,23.5,728,4695,0.43,0.79,5.95,0.57,98.6,Critical,0.85,Overheating,High,12844,4859
EQ-2928,Blood Analyzer,24.9,66.4,321,1216,0.21,0.09,6.03,0.48,81.9,Good,0.2,Overheating,Low,1042,2163
EQ-6861,MRI Scanner,36.6,61.6,106,1440,0.84,0.61,4.89,0.76,112.8,Moderate,0.4,Overheating,Medium,5016,2189
EQ-5298,CT Scanner,34.0,66.6,175,1689,0.03,0.95,0.51,0.35,84.3,Critical,0.65,Component Wear,High,13833,1941
EQ-2057,X-ray Machine,23.6,24.9,275,4359,0.45,0.38,2.83,1.49,120.5,Moderate,0.35,Voltage Surge,Medium,7191,5170
EQ-7116,X-ray Machine,34.9,40.4,179,4106,0.02,0.25,1.62,0.76,81.3,Good,0.05,Component Wear,Low,2322,4931
EQ-6119,Ventilator,24.6,41.9,580,1806,0.59,0.15,3.82,0.83,80.6,Moderate,0.35,Calibration Drift,Medium,7058,2852
EQ-8933,MRI Scanner,36.3,51.3,83,3855,0.43,0.51,4.4,0.59,113.5,Moderate,0.4,Overheating,Medium,6892,4781
EQ-3482,MRI Scanner,20.7,30.6,229,3460,0.3,0.33,5.89,0.94,105.5,Good,0.2,Overheating,Low,3482,4229
EQ-3547,Ventilator,22.9,35.4,257,1541,0.87,0.75,5.09,0.97,120.4,Critical,0.6,Overheating,High,11410,1773
EQ-1549,Ventilator,23.7,58.3,271,3051,0.61,0.57,2.84,1.49,120.5,Critical,0.65,Voltage Surge,High,14404,3318
EQ-1058,MRI Scanner,33.2,57.5,14,3168,0.11,0.12,5.34,0.44,112.8,Moderate,0.55,Overheating,Medium,6332,3860
EQ-5138,Ventilator,18.1,33.9,54,3284,0.8,0.65,1.96,1.31,129.0,Moderate,0.35,Voltage Surge,Medium,6383,4097
EQ-7438,MRI Scanner,30.5,65.4,83,529,0.85,0.47,2.96,0.48,111.2,Moderate,0.3,Calibration Drift,Medium,7575,1360
EQ-8015,Ventilator,32.5,52.2,48,1187,0.82,0.29,1.27,0.64,97.4,Moderate,0.4,Calibration Drift,Medium,7097,2282
EQ-9615,Blood Analyzer,36.9,21.5,4,674,0.71,0.17,1.66,0.8,97.7,Moderate,0.4,Overheating,Medium,6737,1736
EQ-3282,Ventilator,18.6,78.3,51,3462,0.25,0.83,2.55,1.08,112.8,Moderate,0.5,Component Wear,Medium,5899,4364
EQ-7090,X-ray Machine,37.2,39.6,694,3155,0.43,0.44,4.95,0.92,85.4,Critical,0.7,Overheating,High,13505,3439
EQ-8092,MRI Scanner,25.3,68.5,441,4067,0.19,0.75,3.49,0.78,107.9,Critical,0.6,Calibration Drift,High,13443,4328
EQ-9995,Ventilator,32.1,75.0,44,2327,0.11,0.54,0.68,0.79,97.0,Critical,0.65,Component Wear,High,8858,2500
EQ-3500,Ventilator,37.9,53.1,293,3934,0.75,0.33,0.06,0.68,117.3,Critical,0.7,Overheating,High,12890,4374
EQ-1672,MRI Scanner,28.7,77.1,274,2355,0.91,0.84,1.26,1.03,85.6,Moderate,0.5,Component Wear,Medium,4179,3389
EQ-7577,MRI Scanner,28.4,45.7,494,357,0.29,0.66,2.62,1.16,91.9,Moderate,0.55,Component Wear,Medium,5621,1050
EQ-3011,Ventilator,32.8,78.8,574,1379,0.93,0.17,4.83,1.01,106.7,Critical,1.0,Calibration Drift,High,14255,1843
EQ-4579,Ventilator,19.3,60.7,210,3825,0.17,0.22,1.56,0.59,127.1,Critical,0.7,Pressure Leak,High,10530,4196
EQ-9667,CT Scanner,19.4,40.5,573,3217,0.29,0.1,0.08,0.28,83.4,Moderate,0.35,Component Wear,Medium,4332,3888
EQ-2677,CT Scanner,39.6,34.4,101,3640,0.9,0.63,1.95,1.2,86.9,Critical,0.6,Overheating,High,14195,3979
EQ-4837,MRI Scanner,36.0,50.4,353,3200,0.63,0.36,5.2,0.6,89.7,Critical,0.85,Overheating,High,8173,3521
EQ-7579,MRI Scanner,34.5,25.8,286,1539,0.64,0.06,3.4,0.55,98.3,Moderate,0.4,Calibration Drift,Medium,6703,2314
EQ-1337,MRI Scanner,19.7,70.4,608,4094,0.8,0.43,0.99,1.22,81.5,Critical,0.8,Voltage Surge,High,9857,4396
EQ-1609,X-ray Machine,35.9,31.3,307,3789,0.98,0.82,0.13,1.12,120.9,Critical,0.7,Pressure Leak,High,11428,3933
EQ-6314,Blood Analyzer,22.9,26.6,509,4432,0.27,0.8,5.27,1.5,89.7,Critical,0.7,Overheating,High,10385,4608
EQ-6261,X-ray Machine,32.3,24.3,156,2893,-0.12,0.42,0.6,1.02,103.4,Good,0.25,Component Wear,Low,1276,4087
EQ-9487,MRI Scanner,24.5,31.1,282,3729,0.5,0.3,4.12,0.48,90.2,Good,0.05,Calibration Drift,Low,1270,4919
EQ-4474,Ventilator,25.6,77.6,418,3099,0.85,0.89,2.27,0.7,96.9,Critical,0.6,Calibration Drift,High,11916,3571
EQ-4285,MRI Scanner,33.0,22.5,200,2255,0.55,0.24,0.1,0.04,125.9,Moderate,0.5,Pressure Leak,Medium,4316,3108
EQ-4049,Blood Analyzer,25.9,27.8,183,2006,0.65,0.72,0.54,0.87,80.6,Good,0.05,Calibration Drift,Low,1839,2706
EQ-1299,X-ray Machine,26.7,73.0,153,4373,1.0,0.35,0.53,0.1,107.1,Moderate,0.3,Component Wear,Medium,5746,5039
EQ-9769,Ventilator,33.1,24.1,649,343,0.54,0.76,1.94,1.2,123.4,Critical,1.0,Pressure Leak,High,14408,500
EQ-2663,MRI Scanner,21.2,47.8,532,787,-0.02,0.64,2.17,1.41,80.9,Moderate,0.55,Voltage Surge,Medium,6265,1551
EQ-7639,CT Scanner,28.7,41.4,631,2474,0.64,-0.09,5.91,1.44,104.2,Critical,1.0,Overheating,High,14413,2930
EQ-7387,CT Scanner,30.7,69.0,571,1591,0.67,0.19,3.07,1.36,95.7,Critical,1.0,Voltage Surge,High,12179,1874
EQ-8814,X-ray Machine,21.0,40.4,409,841,0.71,0.34,2.86,0.51,85.4,Moderate,0.35,Calibration Drift,Medium,5354,1883
EQ-9533,CT Scanner,20.5,79.7,524,4466,0.83,0.77,0.39,0.59,117.3,Critical,0.6,Calibration Drift,High,10513,4675
EQ-7415,Ventilator,22.0,52.6,504,766,0.3,0.15,3.74,0.78,100.8,Moderate,0.35,Calibration Drift,Medium,6380,1499
EQ-7032,MRI Scanner,19.8,45.4,336,3813,0.74,0.02,1.55,0.53,110.4,Moderate,0.35,Calibration Drift,Medium,5844,4908
EQ-2344,CT Scanner,30.9,39.2,433,1713,0.84,0.4,0.47,0.26,99.7,Critical,0.7,Calibration Drift,High,12674,1945
EQ-7008,Ventilator,18.0,33.0,533,3532,0.81,0.13,2.54,0.8,106.4,Moderate,0.35,Calibration Drift,Medium,4196,4305
EQ-2985,Ventilator,21.3,25.8,63,3404,0.7,0.12,1.69,0.81,85.1,Good,0.05,Component Wear,Low,3719,4588
EQ-6421,MRI Scanner,38.9,55.9,16,2727,0.72,0.98,0.93,1.34,106.1,Critical,0.6,Overheating,High,11045,3024
EQ-8951,CT Scanner,20.3,58.0,149,3297,0.49,0.53,3.56,0.27,86.2,Moderate,0.3,Component Wear,Medium,6356,4169
EQ-8753,Blood Analyzer,29.4,59.4,227,4980,0.41,0.33,5.12,0.46,115.6,Good,0.2,Overheating,Low,1939,5862
EQ-8872,Ventilator,25.3,54.8,36,2862,0.81,0.07,1.53,1.36,92.0,Good,0.25,Voltage Surge,Low,3799,3992
