equipment_id,equipment_type,temperature_avg,humidity_avg,last_maintenance_days,uptime_hours,sensor_1,sensor_2,vibration,voltage_fluctuation,pressure,equipment_health,failure_probability,failure_reason,maintenance_level,cost_implications,updated_uptime
EQ-4100,Ventilator,34.0,20.6,10,3476,0.25,0.69,2.55,1.31,94.0,Critical,0.6,Sensor Drift,High,10272,3654
EQ-4523,Ventilator,21.3,52.0,628,3130,0.89,0.93,5.23,0.97,104.5,Moderate,0.5,Sensor Drift,Medium,8541,3824
EQ-3893,CT Scanner,29.0,67.5,492,400,0.63,0.93,0.37,0.52,94.7,Critical,0.95,Pressure Leak,High,11489,1590
EQ-8384,X-ray Machine,23.8,43.9,29,1969,0.25,0.12,1.36,0.98,124.4,Good,0.15,Sensor Drift,Low,8006,2737
EQ-6648,CT Scanner,23.5,65.6,662,3508,0.65,0.99,4.2,0.81,81.5,Critical,0.6,Voltage Surge,High,11873,3968
EQ-6912,Blood Analyzer,20.9,45.6,632,484,0.4,0.69,1.88,1.1,129.4,Critical,0.65,Sensor Drift,High,10358,698
EQ-1683,MRI Scanner,23.8,38.2,89,1605,0.34,0.27,3.17,0.11,97.2,Good,0.05,Component Wear,Low,5893,2658
EQ-8295,X-ray Machine,25.6,30.9,280,4400,0.33,0.23,1.72,0.15,96.0,Good,0.05,Sensor Drift,Low,3319,5475
EQ-9457,MRI Scanner,37.8,69.6,493,1980,0.29,0.51,4.41,0.15,120.1,Critical,1.0,Component Wear,High,7312,2941
EQ-3317,MRI Scanner,30.2,42.6,643,3541,0.77,0.67,5.55,0.53,113.8,Moderate,0.5,Voltage Surge,Medium,7584,4638
EQ-8805,CT Scanner,32.2,44.9,404,2138,0.6,0.93,1.66,1.46,121.0,Critical,1.0,Sensor Drift,High,13906,2313
EQ-7664,Blood Analyzer,27.2,52.9,510,4437,0.73,0.87,2.92,0.67,103.8,Moderate,0.35,Voltage Surge,Medium,7887,4744
EQ-4601,Ventilator,18.3,42.7,728,4251,0.12,0.38,1.49,0.28,105.8,Moderate,0.35,Component Wear,Medium,14319,4505
EQ-6446,CT Scanner,22.9,29.6,569,1229,0.39,0.19,0.17,0.52,123.0,Moderate,0.45,Sensor Drift,Medium,9600,1925
EQ-1481,Blood Analyzer,21.4,77.8,122,748,0.6,0.87,3.81,0.49,124.5,Moderate,0.4,Voltage Surge,Medium,1544,1009
EQ-8408,Ventilator,21.3,38.2,88,1948,0.46,0.02,3.39,0.95,90.0,Good,0.05,Voltage Surge,Low,10273,2339
EQ-1591,X-ray Machine,30.1,70.9,439,1869,0.06,0.05,1.13,0.15,90.9,Critical,0.6,Sensor Drift,High,12044,2097
EQ-1418,CT Scanner,34.9,42.3,441,1958,0.29,0.31,0.43,1.38,84.4,Critical,0.9,Voltage Surge,High,6308,2500
EQ-7391,CT Scanner,38.3,25.9,301,4990,0.28,0.28,4.0,1.16,96.9,Critical,0.9,Overheating,High,7218,5647
EQ-2871,Blood Analyzer,30.5,77.7,153,4415,0.82,0.24,3.24,0.32,121.5,Moderate,0.4,Pressure Leak,Medium,3522,5492
EQ-4143,Blood Analyzer,35.8,75.7,250,1658,0.87,0.66,2.73,0.04,123.9,Critical,0.75,Voltage Surge,High,8095,2735
EQ-7367,CT Scanner,19.2,26.8,728,464,0.7,0.12,2.01,0.81,122.6,Moderate,0.45,Overheating,Medium,7946,714
EQ-5938,X-ray Machine,32.6,42.5,607,3289,0.91,0.61,3.14,0.89,95.3,Moderate,0.35,Sensor Drift,Medium,8331,4045
EQ-4573,Blood Analyzer,23.8,40.3,123,2814,0.36,0.74,4.33,1.29,90.3,Good,0.25,Overheating,Low,6296,3222
EQ-5119,Ventilator,21.1,42.4,629,2724,0.72,0.44,1.87,1.01,111.1,Moderate,0.55,Voltage Surge,Medium,7939,3146
EQ-1655,MRI Scanner,28.0,43.7,574,1261,0.68,0.43,0.09,1.29,129.4,Critical,0.65,Overheating,High,1436,2029
EQ-3311,Ventilator,30.0,77.6,474,2117,0.41,0.26,0.58,0.59,92.9,Critical,0.6,Overheating,High,11879,2257
EQ-3271,CT Scanner,28.5,35.6,33,4223,0.3,0.67,0.7,1.4,105.3,Critical,0.6,Component Wear,High,12397,5413
EQ-9147,Ventilator,18.7,32.3,190,2964,0.85,0.02,1.61,1.27,125.2,Moderate,0.35,Voltage Surge,Medium,6146,3972
EQ-9981,Blood Analyzer,31.3,72.4,42,2916,0.68,0.62,2.79,0.71,118.2,Moderate,0.3,Pressure Leak,Medium,14652,3669
EQ-6559,Ventilator,30.1,63.2,633,4731,0.09,0.95,5.04,0.2,116.9,Critical,1.0,Sensor Drift,High,8877,5889
EQ-5211,Blood Analyzer,37.6,25.9,662,2266,0.87,0.37,5.3,0.88,102.2,Critical,0.85,Pressure Leak,High,14729,2737
EQ-1146,X-ray Machine,39.9,52.9,172,590,0.1,0.57,1.24,0.12,129.1,Moderate,0.5,Sensor Drift,Medium,1252,1134
EQ-6966,Ventilator,20.9,31.5,79,150,0.4,0.43,1.95,0.23,103.7,Good,0.05,Pressure Leak,Low,9005,586
EQ-8451,CT Scanner,36.1,21.0,483,2732,0.65,0.88,5.05,1.38,84.5,Critical,1.0,Overheating,High,5251,2977
EQ-5505,CT Scanner,35.0,60.1,220,1112,0.29,0.11,4.97,0.34,123.5,Critical,0.75,Component Wear,High,3608,1475
EQ-8969,X-ray Machine,29.5,60.7,594,4265,0.25,0.68,4.62,1.49,98.1,Moderate,0.55,Voltage Surge,Medium,2307,5310
EQ-1621,CT Scanner,23.7,33.9,169,1194,1.02,0.99,1.18,0.16,100.1,Good,0.05,Overheating,Low,12770,1312
EQ-5511,X-ray Machine,23.0,42.0,172,1743,0.11,0.23,2.52,0.3,101.7,Good,0.05,Component Wear,Low,10026,1984
EQ-5982,Blood Analyzer,30.2,37.5,586,4775,0.83,0.26,2.76,1.12,102.8,Moderate,0.55,Pressure Leak,Medium,13532,5112
EQ-9652,CT Scanner,35.5,33.0,416,757,0.66,0.12,3.19,0.68,94.9,Critical,0.7,Pressure Leak,High,7301,1552
EQ-6078,MRI Scanner,33.7,35.4,13,2106,0.55,0.77,0.93,0.56,91.3,Moderate,0.4,Voltage Surge,Medium,9663,2841
EQ-1103,MRI Scanner,30.1,24.3,266,2898,0.36,0.71,5.85,0.41,121.0,Moderate,0.3,Pressure Leak,Medium,4057,3410
EQ-3994,Blood Analyzer,36.0,72.6,257,592,0.81,0.39,3.97,1.08,91.4,Critical,0.85,Sensor Drift,High,10738,1444
EQ-8759,Ventilator,29.7,34.3,220,3761,0.86,0.64,1.88,0.13,94.7,Moderate,0.35,Component Wear,Medium,7199,3916
EQ-5046,Ventilator,20.8,56.7,6,764,0.17,0.58,3.45,0.71,125.3,Good,0.15,Pressure Leak,Low,8715,1674
EQ-6218,Blood Analyzer,36.6,41.5,55,838,0.58,0.88,4.43,0.46,111.2,Moderate,0.4,Sensor Drift,Medium,9388,1978
EQ-4014,CT Scanner,22.3,30.1,50,430,0.42,0.57,5.6,0.64,111.5,Good,0.2,Pressure Leak,Low,13641,1182
EQ-5062,MRI Scanner,29.6,47.9,200,2070,0.65,0.11,3.35,1.08,117.9,Good,0.25,Sensor Drift,Low,6507,3167
EQ-1901,CT Scanner,23.8,25.8,512,161,0.45,0.14,5.61,0.88,101.5,Moderate,0.5,Overheating,Medium,12289,1169
EQ-1645,Blood Analyzer,18.0,41.7,426,808,0.97,0.12,3.57,0.28,128.7,Moderate,0.45,Component Wear,Medium,11779,1043
EQ-1073,MRI Scanner,26.2,27.5,698,2654,0.47,0.04,4.73,1.19,115.0,Moderate,0.55,Sensor Drift,Medium,14594,3824
EQ-1522,CT Scanner,21.1,69.5,622,4349,0.8,0.95,4.23,0.95,107.9,Critical,0.6,Component Wear,High,1300,5067
EQ-1246,Blood Analyzer,38.2,46.6,325,3161,0.53,0.49,4.79,0.63,103.8,Moderate,0.4,Component Wear,Medium,8141,3285
EQ-9239,Ventilator,23.2,26.0,38,4763,0.41,0.56,4.72,0.0,94.6,Good,0.05,Sensor Drift,Low,13323,5797
EQ-4645,CT Scanner,28.4,50.6,431,950,0.75,0.61,1.83,0.75,109.7,Critical,0.7,Overheating,High,2358,1541
EQ-2896,X-ray Machine,28.6,31.3,239,2236,0.89,0.22,4.46,0.91,101.5,Good,0.05,Pressure Leak,Low,14973,3221
EQ-7319,Blood Analyzer,23.6,28.4,316,1248,0.58,0.32,2.4,1.23,118.2,Good,0.25,Overheating,Low,12781,2019
EQ-8950,Blood Analyzer,21.4,42.3,559,2310,0.96,0.64,5.65,1.22,86.7,Critical,0.7,Overheating,High,4359,2533
EQ-3411,CT Scanner,29.5,35.4,274,2211,0.58,0.06,5.91,0.1,107.5,Critical,0.85,Component Wear,High,6539,2390
EQ-6385,MRI Scanner,34.8,44.7,573,952,0.41,0.87,5.37,1.51,81.0,Critical,1.0,Pressure Leak,High,6494,1697
EQ-1504,Ventilator,22.2,26.3,245,4783,0.51,0.75,3.2,1.04,105.4,Moderate,0.55,Pressure Leak,Medium,12941,5363
EQ-5876,CT Scanner,35.6,24.2,615,3559,0.07,0.68,0.41,1.26,122.0,Critical,1.0,Component Wear,High,5128,3843
EQ-9036,Blood Analyzer,34.5,63.0,74,3510,0.78,0.68,4.68,1.23,91.6,Critical,0.6,Sensor Drift,High,1794,4078
EQ-2421,Ventilator,30.8,43.7,331,4801,0.71,0.83,2.39,0.72,109.1,Critical,0.7,Component Wear,High,7569,5414
EQ-7475,Blood Analyzer,18.0,22.2,632,831,0.09,1.03,2.11,1.04,116.5,Moderate,0.55,Component Wear,Medium,5440,1184
EQ-9665,Blood Analyzer,28.8,22.2,365,126,0.75,0.89,2.13,0.42,116.9,Moderate,0.35,Pressure Leak,Medium,14922,708
EQ-3581,MRI Scanner,27.0,39.9,552,1324,0.89,0.84,0.24,0.98,124.2,Moderate,0.45,Overheating,Medium,10896,1958
EQ-5923,X-ray Machine,24.8,78.3,530,3575,0.48,0.2,3.36,0.22,129.1,Critical,0.7,Voltage Surge,High,14484,3939
EQ-8629,X-ray Machine,29.2,32.2,19,2987,0.12,0.57,3.07,0.29,105.9,Good,0.05,Overheating,Low,4458,3256
EQ-1319,Blood Analyzer,33.0,71.6,489,1934,0.3,0.09,2.62,1.01,106.6,Critical,0.8,Component Wear,High,10293,2899
EQ-7399,MRI Scanner,25.9,36.6,118,4708,0.7,0.77,1.05,0.63,111.1,Good,0.05,Voltage Surge,Low,11751,5779
EQ-9300,MRI Scanner,25.2,39.0,290,463,0.18,0.37,5.18,1.33,117.9,Moderate,0.4,Voltage Surge,Medium,11041,598
EQ-7211,Blood Analyzer,34.3,67.7,14,2747,0.68,0.8,1.98,0.49,96.8,Moderate,0.4,Overheating,Medium,13806,3666
EQ-4473,MRI Scanner,32.0,65.9,452,3508,1.03,0.16,3.59,1.27,96.4,Critical,0.8,Voltage Surge,High,4633,3894
EQ-4987,CT Scanner,21.4,20.7,643,861,0.5,0.4,2.89,1.3,116.4,Moderate,0.55,Pressure Leak,Medium,9217,1454
EQ-3238,Blood Analyzer,20.0,23.2,416,4373,0.34,0.71,5.41,1.4,112.5,Critical,0.7,Voltage Surge,High,6119,4881
EQ-3742,CT Scanner,36.2,40.0,514,1874,0.98,0.2,3.82,0.67,93.1,Critical,0.7,Component Wear,High,6104,2391
EQ-8121,MRI Scanner,36.8,60.5,535,998,0.19,0.64,3.68,0.91,93.3,Critical,0.7,Voltage Surge,High,10597,2077
EQ-6086,CT Scanner,37.6,79.9,454,3547,0.86,0.76,5.97,0.05,89.9,Critical,1.0,Component Wear,High,11502,3803
EQ-5424,Blood Analyzer,35.5,38.2,575,263,0.19,0.7,0.84,0.74,84.2,Critical,0.7,Overheating,High,13512,364
EQ-1299,Blood Analyzer,19.4,56.1,632,3954,0.92,0.91,3.29,0.32,107.3,Moderate,0.35,Voltage Surge,Medium,10813,4242
EQ-3842,MRI Scanner,24.0,56.5,233,660,0.56,0.46,2.77,-0.02,124.7,Good,0.15,Pressure Leak,Low,8742,791
EQ-4227,MRI Scanner,31.2,50.0,344,4689,0.67,0.54,3.91,0.42,83.5,Moderate,0.35,Pressure Leak,Medium,1111,4874
EQ-6414,Blood Analyzer,23.9,37.2,486,251,0.75,0.31,0.35,0.75,129.0,Moderate,0.45,Component Wear,Medium,8079,387
EQ-6996,CT Scanner,24.5,56.7,350,163,0.89,0.23,2.3,1.42,100.5,Critical,0.8,Overheating,High,2561,1053
EQ-1902,Blood Analyzer,32.7,76.9,598,1383,0.88,0.41,2.48,0.85,83.9,Critical,0.6,Component Wear,High,7780,1769
EQ-9577,Ventilator,19.7,73.1,396,3889,0.51,1.02,3.31,0.26,127.4,Critical,0.7,Sensor Drift,High,2049,4350
EQ-4863,X-ray Machine,34.8,73.2,309,2302,0.52,0.48,0.42,0.94,112.2,Moderate,0.3,Overheating,Medium,5983,3207
EQ-2617,MRI Scanner,38.9,65.1,64,2144,0.22,0.56,1.45,0.08,91.7,Critical,0.65,Component Wear,High,6814,2553
EQ-3030,Blood Analyzer,19.9,30.7,373,4230,0.8,0.34,1.24,1.07,107.1,Moderate,0.55,Sensor Drift,Medium,1657,4546
EQ-7417,MRI Scanner,20.1,63.9,276,3270,0.31,0.64,0.09,0.95,125.6,Good,0.15,Pressure Leak,Low,1653,4016
EQ-3445,MRI Scanner,38.8,37.0,234,2317,0.41,1.05,3.52,0.79,85.2,Moderate,0.4,Component Wear,Medium,13357,3252
EQ-1090,MRI Scanner,21.9,42.1,365,1455,0.65,0.95,3.25,0.64,93.7,Moderate,0.35,Component Wear,Medium,12237,2251
EQ-3636,CT Scanner,37.3,71.4,182,4465,0.31,0.14,5.04,0.09,109.8,Critical,1.0,Overheating,High,8157,5103
EQ-3257,X-ray Machine,34.6,64.7,51,3357,0.45,0.56,1.87,0.18,101.8,Good,0.05,Sensor Drift,Low,2963,4182
EQ-5754,Blood Analyzer,33.3,61.3,65,2116,0.72,0.44,2.34,1.05,122.0,Moderate,0.35,Component Wear,Medium,4062,2888
EQ-1424,MRI Scanner,39.4,38.9,530,4301,0.18,0.95,0.35,0.47,87.1,Critical,0.7,Voltage Surge,High,3073,4468
EQ-7549,X-ray Machine,29.4,29.8,617,3457,0.24,0.69,3.91,0.26,81.5,Moderate,0.35,Voltage Surge,Medium,7489,4475
EQ-5411,Ventilator,23.0,74.6,419,3175,0.4,0.72,2.33,1.21,94.3,Critical,0.8,Component Wear,High,14133,4264
EQ-3661,Ventilator,21.9,20.3,326,3386,0.39,0.82,5.59,0.82,102.5,Moderate,0.5,Pressure Leak,Medium,5020,3915
EQ-1876,X-ray Machine,25.1,78.6,308,3117,0.24,0.91,4.15,0.74,127.5,Moderate,0.4,Voltage Surge,Medium,14644,3312
EQ-3111,X-ray Machine,30.0,56.3,546,2891,0.95,0.05,4.58,0.9,91.1,Moderate,0.35,Component Wear,Medium,6518,3077
EQ-2766,MRI Scanner,25.8,54.5,400,1647,0.17,0.14,1.97,0.31,120.1,Moderate,0.45,Component Wear,Medium,5219,2125
EQ-6380,X-ray Machine,26.5,31.1,371,4560,0.15,0.57,3.44,0.06,91.7,Moderate,0.35,Pressure Leak,Medium,6127,5600
EQ-2593,CT Scanner,30.6,53.6,292,3769,0.89,0.4,4.84,1.31,109.9,Critical,0.9,Voltage Surge,High,5786,4292
EQ-9197,Ventilator,38.0,65.0,35,4009,0.55,0.18,3.68,0.51,113.7,Critical,0.65,Overheating,High,10423,4700
EQ-2503,X-ray Machine,39.4,34.6,76,891,0.54,0.65,5.24,0.4,114.9,Moderate,0.55,Voltage Surge,Medium,4416,1369
EQ-3675,MRI Scanner,39.8,36.6,253,3674,0.03,0.57,3.51,1.09,129.4,Critical,0.7,Overheating,High,11571,4161
EQ-2130,X-ray Machine,26.8,72.0,104,4287,0.93,0.87,1.28,1.32,101.9,Moderate,0.5,Pressure Leak,Medium,7454,4812
EQ-3153,Ventilator,21.2,51.4,22,2209,0.88,0.51,2.85,0.3,127.9,Good,0.15,Sensor Drift,Low,9044,3379
EQ-8850,Ventilator,35.4,42.6,173,1075,0.59,-0.02,1.18,0.9,128.7,Moderate,0.5,Sensor Drift,Medium,5866,1737
EQ-9968,CT Scanner,19.6,66.3,295,988,0.28,0.08,0.04,0.11,88.1,Critical,0.6,Sensor Drift,High,9781,1910
EQ-8264,MRI Scanner,30.5,78.2,466,3146,0.33,0.57,4.97,1.44,91.6,Critical,0.8,Voltage Surge,High,2617,3425
EQ-8678,X-ray Machine,31.7,28.9,722,1804,0.68,0.91,2.52,0.79,103.5,Moderate,0.35,Pressure Leak,Medium,6334,2263
EQ-4858,X-ray Machine,25.0,73.6,254,3188,0.4,0.54,4.9,0.91,123.7,Moderate,0.4,Pressure Leak,Medium,4140,4241
EQ-7148,CT Scanner,33.4,56.0,144,3686,0.51,0.9,4.97,0.68,87.7,Critical,0.65,Overheating,High,1136,4008
EQ-9586,X-ray Machine,37.9,21.7,647,4029,0.23,0.51,1.46,1.11,112.3,Critical,0.9,Component Wear,High,4813,4937
EQ-8737,CT Scanner,26.5,42.8,559,2635,0.31,0.84,3.42,0.41,128.0,Moderate,0.45,Pressure Leak,Medium,1659,2742
EQ-4469,Blood Analyzer,34.7,45.5,384,1824,0.38,0.24,2.72,0.59,122.9,Critical,0.8,Overheating,High,1262,2218
EQ-5233,X-ray Machine,28.8,75.1,615,1941,0.47,0.55,0.91,1.11,90.1,Critical,0.8,Pressure Leak,High,9456,2450
EQ-9926,Ventilator,21.8,36.6,441,2114,0.6,0.17,5.14,0.59,118.4,Moderate,0.5,Pressure Leak,Medium,7337,3301
EQ-5112,Blood Analyzer,18.8,77.2,603,3612,0.24,0.56,3.61,1.4,110.0,Critical,0.8,Pressure Leak,High,4687,3973
EQ-5679,CT Scanner,25.4,58.7,31,2978,0.39,0.92,3.77,0.53,101.3,Moderate,0.3,Overheating,Medium,11825,3242
EQ-5447,MRI Scanner,28.3,77.3,462,1406,0.21,0.98,4.77,0.87,121.2,Critical,0.7,Voltage Surge,High,11044,2361
EQ-2637,MRI Scanner,31.1,75.2,286,100,0.1,0.25,3.96,1.27,111.7,Moderate,0.5,Sensor Drift,Medium,14089,701
EQ-9490,Ventilator,36.4,34.4,715,1497,0.72,0.69,6.05,0.99,119.0,Critical,0.85,Component Wear,High,13594,2255
EQ-2840,Ventilator,30.8,58.4,571,274,0.06,0.07,3.12,1.31,116.5,Critical,0.9,Component Wear,High,2993,885
EQ-6439,Ventilator,32.5,56.3,307,2467,0.17,0.56,0.76,0.86,97.7,Critical,0.7,Voltage Surge,High,10521,3604
EQ-2395,CT Scanner,18.9,44.1,466,1741,0.35,0.17,2.27,0.8,123.1,Moderate,0.45,Pressure Leak,Medium,10825,2388
EQ-7119,MRI Scanner,27.3,72.4,66,3267,0.11,0.56,4.61,0.51,101.5,Moderate,0.3,Voltage Surge,Medium,6905,3386
EQ-1530,X-ray Machine,39.1,64.1,332,3621,0.27,1.01,3.03,0.81,104.1,Moderate,0.4,Overheating,Medium,10292,4380
EQ-4155,CT Scanner,33.5,76.7,563,834,0.77,0.57,5.07,1.14,95.9,Critical,1.0,Component Wear,High,9768,2018
EQ-2632,CT Scanner,33.3,41.0,280,4553,0.58,0.29,4.26,1.41,86.4,Critical,0.9,Overheating,High,9169,5212
EQ-1891,MRI Scanner,35.4,44.0,291,929,0.99,0.57,5.06,0.59,93.1,Moderate,0.55,Component Wear,Medium,7842,2023
EQ-6052,Ventilator,22.7,60.3,284,4419,0.43,0.66,3.41,0.4,120.1,Critical,0.7,Pressure Leak,High,11239,4632
EQ-3431,Blood Analyzer,20.3,58.8,205,4819,0.72,0.61,5.22,0.86,82.1,Good,0.2,Component Wear,Low,4079,5701
EQ-8938,CT Scanner,35.4,24.4,174,2427,0.46,0.61,0.02,1.04,109.8,Critical,0.6,Sensor Drift,High,5397,3193
EQ-1779,Ventilator,29.6,75.3,681,3671,0.38,0.44,4.45,0.61,123.0,Critical,0.7,Pressure Leak,High,14527,4526
EQ-7481,Ventilator,23.1,66.7,650,791,0.02,0.05,1.61,0.59,116.9,Critical,0.6,Voltage Surge,High,13665,1468
EQ-6786,Blood Analyzer,18.6,66.6,123,2288,0.32,0.87,4.1,1.46,103.6,Good,0.25,Overheating,Low,10003,2855
EQ-9349,X-ray Machine,22.9,30.6,192,4514,0.2,0.24,3.38,0.39,118.9,Good,0.05,Component Wear,Low,5244,5425
EQ-7745,Blood Analyzer,21.0,28.7,148,113,0.01,0.42,0.21,0.29,106.2,Good,0.05,Sensor Drift,Low,11932,916
EQ-9939,Blood Analyzer,29.9,30.8,11,1186,0.11,0.65,3.3,0.59,126.6,Good,0.15,Component Wear,Low,5904,2007
EQ-2832,MRI Scanner,27.3,39.3,241,4978,0.92,0.12,3.22,1.22,127.8,Moderate,0.35,Voltage Surge,Medium,1684,5190
EQ-8825,X-ray Machine,39.5,79.5,257,1951,0.5,0.3,1.23,1.19,125.1,Critical,1.0,Voltage Surge,High,14333,2845
EQ-6090,Ventilator,24.3,36.5,700,3451,0.93,0.9,2.84,1.32,104.1,Moderate,0.55,Sensor Drift,Medium,3366,3742
EQ-1644,Ventilator,30.9,34.9,249,1396,0.02,0.71,4.69,1.18,88.2,Critical,0.9,Component Wear,High,6285,1554
EQ-3066,CT Scanner,39.4,79.1,37,4399,0.01,0.35,1.6,1.13,114.9,Critical,1.0,Overheating,High,11389,5388
EQ-5754,Blood Analyzer,38.7,37.3,43,2772,0.64,0.85,3.58,0.88,102.4,Moderate,0.4,Overheating,Medium,8683,3876
EQ-5381,Blood Analyzer,27.9,57.2,61,1248,0.51,0.4,2.97,1.02,98.0,Good,0.25,Overheating,Low,10887,1846
EQ-1840,MRI Scanner,29.7,23.7,461,3591,0.28,0.82,0.59,0.95,109.2,Moderate,0.35,Component Wear,Medium,5284,4019
EQ-2164,Ventilator,21.9,79.0,545,2917,0.38,0.62,5.74,0.48,86.9,Critical,0.75,Sensor Drift,High,7290,3854
EQ-4335,MRI Scanner,28.1,23.0,365,2204,0.6,0.12,3.02,1.35,94.7,Moderate,0.55,Voltage Surge,Medium,7490,3125
EQ-3413,Ventilator,19.8,30.7,548,1816,0.45,0.46,2.63,1.03,92.2,Moderate,0.55,Pressure Leak,Medium,9235,2522
EQ-5399,Blood Analyzer,39.1,26.0,130,4472,0.38,0.39,5.76,0.37,109.0,Moderate,0.55,Voltage Surge,Medium,1715,4753
EQ-7757,CT Scanner,35.8,47.7,368,653,1.03,0.02,1.03,1.31,124.0,Critical,1.0,Voltage Surge,High,10847,1802
EQ-8509,X-ray Machine,33.1,20.9,700,956,0.64,0.8,3.03,0.95,102.3,Moderate,0.35,Voltage Surge,Medium,10851,1197
EQ-3788,CT Scanner,30.7,55.6,673,3138,0.54,0.52,3.28,1.4,96.4,Critical,1.0,Overheating,High,10323,4109
EQ-4054,MRI Scanner,22.7,32.8,548,893,0.78,0.1,4.34,0.4,127.3,Moderate,0.45,Voltage Surge,Medium,5016,1817
EQ-2443,Blood Analyzer,23.7,30.0,221,987,0.52,0.82,4.3,1.02,90.3,Good,0.25,Voltage Surge,Low,1556,1389
EQ-9713,Blood Analyzer,26.2,45.8,400,3680,0.56,0.11,2.9,1.12,93.1,Moderate,0.55,Overheating,Medium,14930,4536
EQ-8941,X-ray Machine,34.1,32.2,227,2139,0.39,0.65,1.45,0.06,90.4,Good,0.05,Overheating,Low,12789,2904
EQ-4529,Ventilator,35.5,46.9,66,3614,0.03,0.57,2.6,1.37,123.6,Critical,0.7,Sensor Drift,High,13326,4412
EQ-1034,X-ray Machine,28.1,46.5,120,3054,0.58,0.15,0.93,0.47,123.9,Good,0.15,Pressure Leak,Low,13031,3636
EQ-7899,MRI Scanner,20.9,36.7,584,4262,0.76,0.05,1.17,0.87,98.2,Moderate,0.35,Pressure Leak,Medium,4337,4468
EQ-9580,MRI Scanner,26.1,56.7,319,1241,0.99,0.14,4.05,0.4,113.9,Moderate,0.35,Pressure Leak,Medium,9265,2197
EQ-3716,Ventilator,27.0,55.3,275,3168,0.52,0.67,2.56,0.07,100.7,Moderate,0.35,Component Wear,Medium,11314,4006
EQ-8291,Blood Analyzer,27.5,52.7,481,3133,0.52,0.93,1.42,0.56,97.2,Moderate,0.35,Pressure Leak,Medium,11532,3770
EQ-6694,MRI Scanner,36.4,73.7,383,1660,0.77,0.88,4.13,0.16,98.2,Critical,1.0,Voltage Surge,High,14316,2821
EQ-8505,X-ray Machine,18.1,71.2,360,2021,0.24,0.75,5.57,0.73,106.0,Moderate,0.45,Component Wear,Medium,3361,2572
EQ-3389,Blood Analyzer,33.9,51.4,376,2564,0.7,0.85,2.48,0.55,95.7,Moderate,0.35,Voltage Surge,Medium,13338,2900
EQ-3434,X-ray Machine,36.6,40.8,479,3413,0.72,0.76,3.86,0.73,102.4,Critical,0.7,Component Wear,High,7254,4509
